id,smiles,CAS,ref,logKow,ref_logKow
Endrin Aldehyde,O=CC1CC2C3C1C1(Cl)C(Cl)(Cl)C3(Cl)C3(Cl)C2C13Cl,7421-93-4,"Spongberg, A.; Davis, P. Organochlorinated Pesticide Contaminants in Golfo Dulce, Costa Rica. Revista De Biologia Tropical 2017.",4.8,pubChem
Endosulfan I,O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,115-29-7,"Spongberg, A.; Davis, P. Organochlorinated Pesticide Contaminants in Golfo Dulce, Costa Rica. Revista De Biologia Tropical 2017.",3.62,pubChem
Endosulfan Sulphate,O=S1(=O)OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,1031-07-8,"Spongberg, A.; Davis, P. Organochlorinated Pesticide Contaminants in Golfo Dulce, Costa Rica. Revista De Biologia Tropical 2017.",3.83,pubChem
Benomyl,CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc21,17804-35-2,"Partanen, T.; Chaves, J.; Wesseling, C.; Chaverri, F.; Monge, P.; Ruepert, C.; AragÃ³n, A.; Kogevinas, M.; Hogstedt, C.; Kauppinen, T. Workplace Carcinogen and Pesticide Exposures in Costa Rica. International Journal of Occupational and Environmental Health 2003, 9 (2), 104â€“111. https://doi.org/10.1179/oeh.2003.9.2.104.",2.12,pubChem
Chlorothanonil,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,1897-45-6,"Partanen, T.; Chaves, J.; Wesseling, C.; Chaverri, F.; Monge, P.; Ruepert, C.; AragÃ³n, A.; Kogevinas, M.; Hogstedt, C.; Kauppinen, T. Workplace Carcinogen and Pesticide Exposures in Costa Rica. International Journal of Occupational and Environmental Health 2003, 9 (2), 104â€“111. https://doi.org/10.1179/oeh.2003.9.2.104.",3.05,pubChem
"1,2,3-triazine",c1cnnnc1,289-96-3,"Partanen, T.; Chaves, J.; Wesseling, C.; Chaverri, F.; Monge, P.; Ruepert, C.; AragÃ³n, A.; Kogevinas, M.; Hogstedt, C.; Kauppinen, T. Workplace Carcinogen and Pesticide Exposures in Costa Rica. International Journal of Occupational and Environmental Health 2003, 9 (2), 104â€“111. https://doi.org/10.1179/oeh.2003.9.2.104.",-0.91,ChemAxon
"1,2,4-triazine",c1cnncn1,290-38-0,"Partanen, T.; Chaves, J.; Wesseling, C.; Chaverri, F.; Monge, P.; Ruepert, C.; AragÃ³n, A.; Kogevinas, M.; Hogstedt, C.; Kauppinen, T. Workplace Carcinogen and Pesticide Exposures in Costa Rica. International Journal of Occupational and Environmental Health 2003, 9 (2), 104â€“111. https://doi.org/10.1179/oeh.2003.9.2.104.",-0.81,Keneth database
"1,3,5-triazine",c1ncncn1,290-87-9,"Partanen, T.; Chaves, J.; Wesseling, C.; Chaverri, F.; Monge, P.; Ruepert, C.; AragÃ³n, A.; Kogevinas, M.; Hogstedt, C.; Kauppinen, T. Workplace Carcinogen and Pesticide Exposures in Costa Rica. International Journal of Occupational and Environmental Health 2003, 9 (2), 104â€“111. https://doi.org/10.1179/oeh.2003.9.2.104.",0.12,Keneth database
"2,4-D",O=C(O)COc1ccc(Cl)cc1Cl,94-75-7,"Partanen, T.; Chaves, J.; Wesseling, C.; Chaverri, F.; Monge, P.; Ruepert, C.; AragÃ³n, A.; Kogevinas, M.; Hogstedt, C.; Kauppinen, T. Workplace Carcinogen and Pesticide Exposures in Costa Rica. International Journal of Occupational and Environmental Health 2003, 9 (2), 104â€“111. https://doi.org/10.1179/oeh.2003.9.2.104.",2.81,pubChem
"2,4,5-T",O=C(O)COc1cc(Cl)c(Cl)cc1Cl,93-76-5,"Partanen, T.; Chaves, J.; Wesseling, C.; Chaverri, F.; Monge, P.; Ruepert, C.; AragÃ³n, A.; Kogevinas, M.; Hogstedt, C.; Kauppinen, T. Workplace Carcinogen and Pesticide Exposures in Costa Rica. International Journal of Occupational and Environmental Health 2003, 9 (2), 104â€“111. https://doi.org/10.1179/oeh.2003.9.2.104.",4,pubChem
